city,temperature,condition,description,timestamp,surge
West Casey,-1.35,Sunny,Various national father recently score investment.,2026-04-21 20:12:58,2.01
East Renee,-6.44,Cloudy,Reach reduce especially.,2026-03-30 00:34:13,1.01
New Johnshire,-1.21,Cloudy,Five senior dog down administration.,2026-01-04 18:13:50,2.41
Kevinstad,17.79,Cloudy,Source front site skill heart.,2026-01-27 00:02:53,2.71
North Theodoremouth,-6.42,Windy,Follow certain bill push impact.,2026-04-13 10:11:17,1.36
Mallorymouth,31.79,Snowy,At a difference west.,2026-03-10 16:53:54,0.92
West Williammouth,32.18,Windy,Prevent generation spring marriage necessary.,2026-01-19 07:15:47,2.83
Reidchester,-2.88,Rainy,Example store involve onto list ready.,2026-04-30 15:46:51,0.46
West Melissa,-1.41,Snowy,Cup course couple impact.,2026-01-27 10:40:19,0.9
Jacobsville,25.0,Cloudy,Leader generation couple often administration five.,2026-04-30 13:58:58,0.22
West Veronica,8.72,Rainy,Her left better exactly billion.,2026-01-18 16:49:49,2.08
New Charlesfurt,27.28,Rainy,Writer form say people admit.,2026-02-14 04:48:49,2.95
West Rachelmouth,30.89,Cloudy,Address among team drive.,2026-02-02 10:13:04,2.79
Morganchester,4.17,Sunny,Deal political ask although civil gun tree.,2026-02-21 21:23:09,2.05
Jenniferview,18.05,Windy,Probably treat significant hospital born either.,2026-03-25 07:09:05,2.93
Powellfort,-7.08,Cloudy,Explain piece share wind account hard throw.,2026-02-09 06:02:08,2.81
West Aprilbury,36.07,Sunny,Begin sing effect six.,2026-02-07 21:53:36,0.94
Matthewstad,30.99,Windy,War challenge whole her.,2026-04-29 08:44:53,0.85
East Kathryn,13.26,Rainy,Head letter understand effort whatever shoulder attention toward.,2026-04-09 14:43:43,1.36
Kramerhaven,-9.2,Rainy,Option series student entire face heavy tell.,2026-01-27 08:51:07,2.35
North Kelseyside,12.55,Sunny,Often friend find like run receive increase.,2026-02-15 07:30:55,2.68
Port Tracimouth,24.38,Rainy,Write garden worry those force.,2026-03-17 16:40:29,2.94
Port Georgeberg,35.99,Cloudy,Agreement past practice war trip sort a.,2026-03-28 01:31:59,0.06
Rebeccahaven,22.0,Rainy,When entire ball his reach kind.,2026-01-11 19:13:03,1.24
Gallaghermouth,23.1,Snowy,Prevent campaign program physical race show.,2026-03-02 23:20:49,0.81
Johnsonland,13.35,Windy,Door create best who question.,2026-01-06 09:28:56,1.53
Lake Loriborough,6.71,Rainy,Employee just station after easy.,2026-01-01 16:24:23,2.2
Davismouth,2.52,Cloudy,Guess his happy.,2026-04-30 01:35:51,1.48
Jonathanstad,31.03,Windy,Expect benefit idea unit culture.,2026-03-18 08:42:47,2.77
Port Andre,30.97,Sunny,Range again language reach mission moment.,2026-03-08 16:39:28,0.28
Geoffreyhaven,31.64,Sunny,Car source imagine else evening.,2026-03-08 07:34:03,2.41
Barnettport,37.59,Sunny,Finally world may.,2026-01-19 14:32:05,2.76
Lake Daniel,35.36,Sunny,Catch their hair.,2026-02-19 22:47:01,2.78
Andrewburgh,6.57,Windy,Machine street every report house.,2026-05-02 23:12:10,0.43
Williamsville,-2.03,Cloudy,Yet put raise tough international.,2026-03-13 22:18:56,2.93
Lake Brian,7.29,Cloudy,Others who receive per animal big.,2026-01-09 10:36:03,2.14
West Jennifer,-8.83,Windy,Difficult mind president.,2026-03-20 08:13:07,1.61
Torresburgh,28.3,Rainy,Be attack more same special.,2026-01-29 09:42:16,1.69
Rodrigueztown,21.08,Rainy,Possible effect move their.,2026-04-05 07:15:35,2.21
Shortstad,-3.91,Cloudy,Seat better but how.,2026-02-27 02:58:33,2.76
Port Franktown,30.52,Windy,Method for certainly truth.,2026-02-15 15:14:00,0.14
East Deborah,34.04,Snowy,Can evening rock throw professional.,2026-05-02 12:12:48,1.47
Hoodport,23.54,Snowy,Meeting always free able.,2026-04-24 17:17:15,1.15
Kathleenland,16.59,Sunny,Wife staff model involve expert heart consumer.,2026-01-06 01:10:40,0.99
Campbellbury,15.27,Windy,Design high imagine nature until.,2026-02-04 04:36:59,1.66
North Natalie,24.27,Sunny,Always born nature scene computer.,2026-02-25 18:39:27,0.16
Stevensstad,7.76,Cloudy,Above issue easy floor ball purpose.,2026-04-21 03:06:00,2.94
Johnsonview,18.22,Snowy,Third way customer case news write there.,2026-04-15 23:05:19,0.47
North Charles,-6.32,Rainy,Market run his peace wall receive compare.,2026-04-15 21:43:49,0.09
West Kellyfort,16.84,Cloudy,Foreign in authority fear picture leg sea.,2026-04-07 18:03:50,0.92
New Phillip,0.5,Windy,Produce pay street expert ability here.,2026-02-09 11:23:47,1.48
New Danaland,13.58,Cloudy,Nice interest hospital interest six.,2026-01-23 19:30:34,2.44
North Jill,38.39,Snowy,Nice success fall cause instead clear finally responsibility.,2026-03-24 20:49:43,0.46
North Brianmouth,-6.47,Cloudy,Lead by factor mean outside.,2026-03-18 16:07:02,0.81
East Evanfurt,37.75,Rainy,Minute like strategy or.,2026-02-18 11:26:11,2.77
Timothyfurt,32.27,Snowy,Art happy full much best.,2026-01-21 02:50:54,0.87
West Timothy,30.27,Rainy,Fish listen water then full.,2026-02-19 01:13:35,1.59
South Joanna,16.73,Cloudy,Possible explain country visit school player these activity.,2026-01-01 00:43:29,1.71
Cortezside,34.05,Rainy,Main about traditional go at movie.,2026-04-06 09:49:06,2.54
Velezchester,27.53,Windy,Fast fight cultural treatment.,2026-03-10 05:44:23,0.47
Joshuatown,2.3,Snowy,Nature national now easy management number.,2026-01-22 21:59:56,1.09
New Andre,31.92,Sunny,Prepare street laugh expect seek recent room result.,2026-03-19 08:56:48,0.25
Barkerbury,14.25,Snowy,Interesting themselves clearly person argue station.,2026-02-27 08:08:54,2.53
Port James,22.63,Windy,Foot son main much.,2026-03-11 11:01:58,1.2
Charlesland,11.41,Cloudy,Write message work tell address.,2026-01-31 11:24:07,1.18
Teresaville,6.66,Snowy,Clear close join fear month kind.,2026-04-22 15:32:39,2.68
Juliantown,26.19,Rainy,Rich image call attention help establish.,2026-01-19 18:35:14,2.05
East Stacy,18.71,Windy,Ask school relationship star so share.,2026-02-13 10:22:57,2.49
West Norma,39.05,Windy,Indeed crime glass particularly.,2026-04-10 10:05:07,0.68
Gayview,-6.08,Windy,Check key live project.,2026-01-24 01:47:17,0.45
South Mason,10.16,Cloudy,Partner hear mission far item man four.,2026-01-04 10:40:22,0.98
Dorischester,14.46,Rainy,Land ago where the better family hear system.,2026-04-30 19:21:38,2.59
Bauershire,11.02,Cloudy,Occur financial rather almost car so.,2026-03-31 18:52:15,2.81
Vegaburgh,-7.05,Snowy,Sound teach rate history food anyone series bring.,2026-04-07 16:30:07,0.94
Amandaside,28.22,Windy,Possible reason appear into ground compare.,2026-03-08 04:36:47,2.17
North Darinside,-0.12,Sunny,Stage director join.,2026-02-06 19:42:43,2.12
